Loading and expanding specs...
  4179 total tasks (~12537 rows)
  depth 0: 93 tasks
  depth 1: 2000 tasks
  depth 2: 2000 tasks
  depth 3: 83 tasks
  depth 4: 3 tasks

Generating real traces via GPT-4o mini (DeepSeek disabled via BTL_FORCE_OPENAI)...
  concurrency=128, max_tokens=2048, model=gpt-4o-mini
  saving incrementally to:
    train: C:\Users\pc\Downloads\btl\btl-1\data\real-traces\train.jsonl
    eval:  C:\Users\pc\Downloads\btl\btl-1\data\real-traces\eval.jsonl
  100/4179 tasks done, cost: $0.0045 (ds: $0.0000, oai: $0.0045), incomplete: 0, failed: 0
  50/4179 tasks done, cost: $0.0093 (ds: $0.0000, oai: $0.0093), incomplete: 0, failed: 0
  150/4179 tasks done, cost: $0.0210 (ds: $0.0000, oai: $0.0210), incomplete: 0, failed: 0
  200/4179 tasks done, cost: $0.0248 (ds: $0.0000, oai: $0.0248), incomplete: 0, failed: 0
  250/4179 tasks done, cost: $0.0306 (ds: $0.0000, oai: $0.0306), incomplete: 0, failed: 0
  300/4179 tasks done, cost: $0.0433 (ds: $0.0000, oai: $0.0433), incomplete: 0, failed: 0
  350/4179 tasks done, cost: $0.0483 (ds: $0.0000, oai: $0.0483), incomplete: 0, failed: 0
  450/4179 tasks done, cost: $0.0548 (ds: $0.0000, oai: $0.0548), incomplete: 0, failed: 0
  400/4179 tasks done, cost: $0.0659 (ds: $0.0000, oai: $0.0659), incomplete: 0, failed: 0
  500/4179 tasks done, cost: $0.0669 (ds: $0.0000, oai: $0.0669), incomplete: 0, failed: 0
  600/4179 tasks done, cost: $0.0752 (ds: $0.0000, oai: $0.0752), incomplete: 0, failed: 0
  550/4179 tasks done, cost: $0.0772 (ds: $0.0000, oai: $0.0772), incomplete: 0, failed: 0
  700/4179 tasks done, cost: $0.0839 (ds: $0.0000, oai: $0.0839), incomplete: 0, failed: 0
  650/4179 tasks done, cost: $0.0871 (ds: $0.0000, oai: $0.0871), incomplete: 0, failed: 0
  800/4179 tasks done, cost: $0.1023 (ds: $0.0000, oai: $0.1023), incomplete: 0, failed: 0
  750/4179 tasks done, cost: $0.1027 (ds: $0.0000, oai: $0.1027), incomplete: 0, failed: 0
  850/4179 tasks done, cost: $0.1082 (ds: $0.0000, oai: $0.1082), incomplete: 0, failed: 0
  900/4179 tasks done, cost: $0.1152 (ds: $0.0000, oai: $0.1152), incomplete: 0, failed: 0
  950/4179 tasks done, cost: $0.1166 (ds: $0.0000, oai: $0.1166), incomplete: 0, failed: 0
  1100/4179 tasks done, cost: $0.1341 (ds: $0.0000, oai: $0.1341), incomplete: 0, failed: 0
  1050/4179 tasks done, cost: $0.1354 (ds: $0.0000, oai: $0.1354), incomplete: 0, failed: 0
  1000/4179 tasks done, cost: $0.1372 (ds: $0.0000, oai: $0.1372), incomplete: 0, failed: 0
  1200/4179 tasks done, cost: $0.1572 (ds: $0.0000, oai: $0.1572), incomplete: 0, failed: 0
  1300/4179 tasks done, cost: $0.1598 (ds: $0.0000, oai: $0.1598), incomplete: 0, failed: 0
